AUTORI;TITOLI-MAX;TITOLI-MEDIA;TITOLI+ABSTRACT-MAX;TITOLI+ABSTRACT-MEDIA;KEYWORDS
Bram Adams;0.6741998624632421;0.15555512132600255;0.4519027154270593;0.11298206542040855;0.4431818181818182
Gordon Fraser;0.4558423058385518;0.1526766587847805;0.4510125784099744;0.12945445598655994;0.36363636363636365
Kelly Blincoe;0.5698028822981898;0.15236614016432393;0.44924813314474954;0.11618015280323117;0.21428571428571427
Romain Robbes;0.533001790889026;0.12878788543231348;0.5541884568930748;0.12364648569177351;0.2891566265060241
Sven Apel;0.7462025072446364;0.1353769819233161;0.46983844573128647;0.11460899862223628;0.5933333333333334
Xin Xia;0.6666666666666666;0.13105620163323975;0.6445131335996805;0.12669997266406194;0.6338028169014085
Zhenchang Xing;0.50709255283711;0.13600164198485215;0.5429858731061512;0.1096915489813197;0.6013071895424836
